dt,Country,AverageTemperature,TemperatureDifference
1901,Afghanistan,13.894,0.14466666666666583
1902,Afghanistan,14.505833333333335,0.611833333333335
1903,Afghanistan,12.986416666666669,-1.5194166666666664
1904,Afghanistan,13.805750000000002,0.8193333333333328
1905,Afghanistan,13.385666666666664,-0.4200833333333378
1906,Afghanistan,13.884916666666667,0.4992500000000035
1907,Afghanistan,13.352916666666667,-0.532
1908,Afghanistan,13.699166666666663,0.34624999999999595
1909,Afghanistan,13.925416666666669,0.2262500000000056
1910,Afghanistan,13.216500000000002,-0.7089166666666671
1911,Afghanistan,13.385,0.1684999999999981
1912,Afghanistan,13.902666666666669,0.5176666666666687
1913,Afghanistan,13.85925,-0.0434166666666691
1914,Afghanistan,14.296833333333334,0.4375833333333343
1915,Afghanistan,14.914583333333333,0.6177499999999991
1916,Afghanistan,13.343000000000002,-1.5715833333333311
1917,Afghanistan,13.9165,0.5734999999999975
1918,Afghanistan,13.48325,-0.43324999999999925
1919,Afghanistan,13.880916666666666,0.39766666666666595
1920,Afghanistan,13.036500000000002,-0.8444166666666639
1921,Afghanistan,14.171583333333333,1.1350833333333306
1922,Afghanistan,14.2555,0.08391666666666708
1923,Afghanistan,13.338916666666668,-0.9165833333333318
1924,Afghanistan,13.629,0.2900833333333317
1925,Afghanistan,13.93175,0.30274999999999963
1926,Afghanistan,13.745333333333331,-0.186416666666668
1927,Afghanistan,13.844583333333333,0.09925000000000139
1928,Afghanistan,13.633,-0.21158333333333346
1929,Afghanistan,13.48175,-0.15124999999999922
1930,Afghanistan,13.330583333333337,-0.15116666666666312
1931,Afghanistan,13.4475,0.116916666666663
1932,Afghanistan,13.664666666666667,0.2171666666666674
1933,Afghanistan,13.882916666666668,0.21825000000000117
1934,Afghanistan,13.341416666666667,-0.541500000000001
1935,Afghanistan,13.29625,-0.0451666666666668
1936,Afghanistan,14.007416666666666,0.7111666666666654
1937,Afghanistan,13.571583333333336,-0.4358333333333295
1938,Afghanistan,14.21125,0.6396666666666633
1939,Afghanistan,14.161916666666668,-0.04933333333333145
1940,Afghanistan,14.734,0.5720833333333317
1941,Afghanistan,15.50275,0.7687500000000007
1942,Afghanistan,14.451166666666667,-1.0515833333333333
1943,Afghanistan,13.707833333333332,-0.7433333333333358
1944,Afghanistan,14.29175,0.5839166666666689
1945,Afghanistan,13.86625,-0.42549999999999955
1946,Afghanistan,14.594666666666669,0.7284166666666678
1947,Afghanistan,15.035083333333333,0.440416666666664
1948,Afghanistan,14.33525,-0.6998333333333324
1949,Afghanistan,13.350083333333332,-0.9851666666666681
1950,Afghanistan,13.0435,-0.3065833333333323
1951,Afghanistan,13.96775,0.9242500000000007
1952,Afghanistan,14.175416666666669,0.20766666666666822
1953,Afghanistan,14.65075,0.4753333333333316
1954,Afghanistan,13.691333333333333,-0.9594166666666677
1955,Afghanistan,14.642583333333334,0.9512500000000017
1956,Afghanistan,14.191083333333331,-0.4515000000000029
1957,Afghanistan,12.777166666666666,-1.4139166666666654
1958,Afghanistan,14.71675,1.9395833333333332
1959,Afghanistan,14.152583333333334,-0.5641666666666652
1960,Afghanistan,13.985416666666666,-0.16716666666666846
1961,Afghanistan,14.064916666666669,0.07950000000000301
1962,Afghanistan,13.768666666666666,-0.29625000000000234
1963,Afghanistan,15.033416666666668,1.2647500000000012
1964,Afghanistan,13.084916666666668,-1.9484999999999992
1965,Afghanistan,14.101833333333332,1.0169166666666634
1966,Afghanistan,14.343000000000002,0.24116666666667008
1967,Afghanistan,13.66325,-0.6797500000000021
1968,Afghanistan,13.762333333333332,0.09908333333333275
1969,Afghanistan,13.805083333333334,0.04275000000000162
1970,Afghanistan,14.783083333333332,0.977999999999998
1971,Afghanistan,14.8235,0.04041666666666721
1972,Afghanistan,12.547166666666667,-2.2763333333333318
1973,Afghanistan,14.235500000000002,1.6883333333333344
1974,Afghanistan,13.31675,-0.9187500000000011
1975,Afghanistan,13.548083333333333,0.23133333333333184
1976,Afghanistan,13.708583333333335,0.16050000000000253
1977,Afghanistan,14.805416666666666,1.0968333333333309
1978,Afghanistan,14.329666666666666,-0.4757499999999997
1979,Afghanistan,14.262083333333337,-0.06758333333332978
1980,Afghanistan,14.887333333333332,0.6252499999999959
1981,Afghanistan,14.860083333333334,-0.027249999999998664
1982,Afghanistan,13.733083333333331,-1.1270000000000024
1983,Afghanistan,14.614833333333335,0.8817500000000038
1984,Afghanistan,14.245833333333335,-0.3689999999999998
1985,Afghanistan,14.88875,0.6429166666666646
1986,Afghanistan,14.22316666666667,-0.6655833333333305
1987,Afghanistan,14.984,0.7608333333333306
1988,Afghanistan,15.389,0.40499999999999936
1989,Afghanistan,14.125750000000002,-1.2632499999999975
1990,Afghanistan,14.993333333333332,0.8675833333333305
1991,Afghanistan,14.37075,-0.622583333333333
1992,Afghanistan,14.056083333333332,-0.31466666666666754
1993,Afghanistan,14.43925,0.38316666666666777
1994,Afghanistan,14.75475,0.3155000000000001
1995,Afghanistan,14.859166666666669,0.10441666666666904
1996,Afghanistan,14.426,-0.4331666666666685
1997,Afghanistan,14.904000000000002,0.47800000000000153
1998,Afghanistan,15.1325,0.2284999999999986
